,service_request_id,grievance
0,101004372086,Overgrown weeds
1,101004372084,Commercial Parking only
2,101004372083,Commercial Parking only
3,101004372082,Gray SUV parked overhanging sidewalk.  Ticket on back of vehicle is from 3 days ago.  BYD please go tag it.
4,101004371668,Not trash day
5,101004372014,Somekind of bucket with sand left on the sidewalk for a few days. | Type of debris: [Other]  Cars parked on the street: [No]
6,101004337018,Broken sprinkler head
7,101004359338,"Broken glass bottles, unsafe area as a result"
8,101004371749,street has not been swept since April.  Used to get regular sweeping but the signs were taken down | Type of debris: [Requestformechanicalsweeping]  Cars parked on the street: [No]
9,101004372079,Pick up cone
10,101004372078,Loose trash and broken glass around back of property
11,101004371199,Splash Pad- A few of the spouts do not work. Was told that the pipes need to be cleaned. Since the pool isn't opened and it is one of only 2 splash pad we have in our town can we at least have that functioning properly.
12,101004370961,Splash pad sewer not draining and some sprinklers seem clogged.
13,101004371942,Item(s) that was/were supposed to be picked up: [Air Conditioner]  Scheduled trash day: [Wednesday]  Curbside pickup or an alley: [Curb Side Pickup]
14,101004362703,Big rats coming out of this yard all the time.
15,101004372047,Dead animal on sidewalk/roadway: [Roadway]  Type of animal: [Other]  Please explain: [ground hog]  Date when animal seen: [06/30/2022]  Time when animal seen: [12:50]
16,101004370742,Behind church trash from church keeps accumulating  for more than a week church people don't pick up trash dumpsters belong to church they're located behind alleyway.
17,101004371041,Park overgrown and landing at 100 Stairs entrance flooded (drain needs to be unclogged - the rest of the landings are okay).
18,101004372077,No evidence found
19,101004370397,Pothole in the crosswalk going across westbound lanes of Beacon before crossing intersection
20,101004372076,Constituent reports car blocking hydrnat as well as multiple double parked vehicles. | How is the car parked illegally: [Blocking hydrant]
21,101004372074,Thank you for fixing the sidewalks and added accessible ramps. Really hoping the crosswalks can be repainted and one can be added to correspond with crossing on both sides. Cars sadly still plow through the lights and it might help w pedestrians entering and exiting Franklin.  Thanks!
22,101004370347,The grate is sinking. This is located near the front entrance of the St Anthony's Shrine.
23,101004371745,Other | Details: [THERE IS ALL KINDS OF TRASH/DEBRIS AND OVER GROWN GRASS/WEEDS ON THE PROPERTY ACROSS THE STREET FROM THIS LOCATION.]
24,101004372073,ORIGINAL CART WAS STOLEN | Recycling pickup day: [Tuesday]  No. of carts: [1]  No. of units: [1]
25,101004372053,130 Myrtle St
26,101004371499,Trash on sidewalk
27,101004372071,Vehicle with out of state plates parked illegally in Resident parking zone
28,101004372070,Please remove trash no evidence found
29,101004372069,BPD is requesting 3 boxes of needle collection bins collected. | Needle Quantity: [More Than Three]  Property Location Type: [Public]
30,101004372067,574-576 Harvard St TRASH HAS BEEN HERE FOR 3 YEARS....(COMPLAINT #101002794296) Same exact trash STILL. Now there are RATS
31,101004316922,Jeep parked in visitor zone for three days. Zone has two hour limit
32,101004372004,Emptied barrels left out on sidewalk | Details: [Trash is all over property and outside on sidewalk . States not taking trash out.]
33,101004362660,Rat infestation rear if property
34,101004366838,Tasca Restaurant on Commonwealth Avenue in Brighton is covering up the city-installed bike rack
35,101004372063,"Urgent: Please see one attached photo. The large tree limbs are falling against the telephone pole which has the electric utility box and cables running off of it. This is a safety hazard and needs to be removed before it falls and someone gets hurt walking on the sidewalk. This pole is on the sidewalk in front of # 93 & 89 Turner Street, Brighton MA 02135. The Tree is on the property of #93 Turner St."
36,101004370823,"Please ensure the outdoor dining space at Acetuna Grill at 57 Boston Wharf Road meets their permit, it appears they have taken up too much sidewalk space.. thank you"
37,101004372062,How is the car parked illegally: [Fire lane]  Model: [4DR]  Color: [White]  Vehicle License Plate State: [CT]
38,101004372056,Where the driveway meets the street Concrete falling apart. | Cause of damage: [Normal deterioration]
39,101004371539,"Alley Dumpster is overflowing, smells very bad and has seagulls shredding the bags left on top of the dumpster. Continuing issue with no changes and multiple complaints. Attracts rats and gull and pigeons daily."
40,101004311647,"The lightening at the Bocce Courts on Commercial Street does not light the 3 courts closest to Commercial Street. The 3  courts closest to the waterfront are fine,  but the other courts are in the dark. Thank you for your attention! | SR Type: [LIGHTING_ELECTRICAL]"
41,101004371947,Constituent states recycling has been missed two weeks in a row | Scheduled recycling day: [Wednesday]  How was the recycling placed out for collection: [Blue Box]  Curbside pickup or an alley: [Curb Side Pickup]
42,101004371972,Dead animal
43,101004372052,Exposed trash debris
44,101004371214,Woman throwing litter on ground
45,101004372051,How is the car parked illegally: [Blocking hydrant]  Make: [Unknown]  Model: [4DR]
