word,frequency
the,2697
of,1900
and,1200
is,1134
a,1081
to,1044
on,1022
in,980
for,954
(0),920
|,878
or,720
trash,684
pickup,606
day:,590
an,555
out,500
Pickup],484
alley:,477
this,469
at,458
collection:,457
Curbside,455
parked,441
[No],441
was,423
Trash,404
street,353
that,345
How,329
Constituent,320
be,315
with,308
are,303
has,299
Date,272
not,271
sidewalk,262
been,258
over,258
it,253
up,252
Please,251
Water,249
Scheduled,248
waste,247
Side,241
placed,239
requested,239
Item,238
Type,236
[Curb,236
scheduled,236
Air,235
parking,234
[TV,234
Conditioner,234
Refrigerator/Freezer,233
Cooler,233
Dehumidifier,233
Computer,233
Monitor,233
[Curbside,233
pickup:,229
tree,228
your,219
(0)],215
car,212
No.,212
The,205
from,200
have,196
no,193
there,191
Recycling,189
[Yes],186
(1),185
Plate,184
states,184
2022],182
[1],177
License,177
all,175
[Wednesday],166
abandoned,163
bags,158
front,151
reports,150
Park,149
I,148
June,148
when,141
you,140
This,138
car:,136
[Other],134
recycling,133
Is,132
Vehicle,129
they,128
blocking,127
[Tuesday],127
by,124
please,122
resident,122
if,121
park,119
as,116
still,112
but,110
No,107
Rats,107
Details:,106
carts:,106
units:,106
requesting,105
location:,105
illegally:,104
left,102
needs,102
construction,101
Yard,100
[Monday],100
picked,99
2,97
Type:,97
side,97
down,92
cars,92
can,91
Street,91
What,91
my,91
July,91
animal,90
yard,89
light,89
request,89
back,88
any,88
street.,87
here,87
Thank,86
[Mon/Thurs],85
one,84
sign,84
problem:,82
St,81
Make:,81
Cart,81
available:,81
Dead,80
remove,79
SR,79
owner:,79
Car,78
need,77
into,77
vehicle,76
outside,76
Waste,76
[BPRD],76
[MA],75
[Yard,74
Paper,74
street:,73
Model:,73
multiple,72
pole,72
water,72
Color:,71
off,70
missed,70
[Barrel],70
city,70
There,70
50,70
pick,69
property,67
It,67
lbs:,67
new,66
Cars,65
Exact,65
get,64
[Thursday],64
Boston,63
lot,63
grass,63
area,62
household,62
st,62
way,62
3,61
two,61
[Constituent,61
Barrels,61
[4DR],60
Bag],60
Sticker:,60
"[Wednesday,",60
day,59
broken,59
Rat,59
someone,58
mixed,58
trash:,58
vehicle:,58
City,58
due,58
rats,57
very,57
you.,57
now,57
truck,57
removal.,57
barrels,56
&,56
cart,56
sidewalk.,55
near,55
around,54
seen:,54
[Unknown],54
fixtures,54
it's,54
pothole,54
we,53
-,53
State:,53
so,53
"[Tuesday,",53
were,52
put,52
only,51
Requesting,51
next,51
location,51
going,50
fire,50
their,49
litter,49
nature,49
about,49
because,48
2022,48
being,48
like,48
"29,",48
debris:,47
more,47
property:,47
"material,",47
"paints,",47
plumbing,47
tires:,47
***],47
New,47
number,47
Color,47
days,46
her,46
corner,46
ticket,46
Make,46
behind,45
traffic,45
stop,45
Day:,45
identification:,45
State,45
bites:,44
house:,44
hydrant,44
between,44
house,44
our,43
people,43
across,43
illegally,43
Registration:,43
them,43
(2),43
clean,43
"[Monday,",43
Model,43
Time,42
zone,42
see,42
