,service_request_id,grievance
0,101004368982,People are sitting on top of park tables and marking up the tables with  markers.
1,101004368339,Item(s) that was/were supposed to be picked up: [TV]  Scheduled trash day: [Monday]  Curbside pickup or an alley: [Curb Side Pickup]
2,101004150037,Light out
3,101004368925,In the baseball field under the bleachers on the right hand side on the front row. It has a large orange piece. | Needle Quantity: [One]  Property Location Type: [Public]
4,101004368979,Across from 112 chittick road. 2 grills dumped on sidewalk.  No violation issued
5,101004368976,"Property conditions interfere with sidewalk passage | Details: [baby carriage chained to the fence, blocking the sidewalk]  Exact location: [front]"
6,101004293507,Grass at Hemenway on the hill needs to be mowed badly
7,101004368946,Dead bird on sidewalk in front of 5 Sanderson
8,101004336305,Overflowing trash can
9,101004297367,Requesting Softball field grass be cut. | SR Type: [Grass Cutting]  Park owner: [BPRD]
10,101004368974,So these guys have been here ALL Day in front of private parking bays SeaDar construction again - do they have a permit to move this heavy stone in this location ?
11,101004368921,Logan airplane noise disturbing South End
12,101004368950,Scheduled recycling day: [Tues/Fri]  How was the recycling placed out for collection: [Cart]  Curbside pickup or an alley: [Alley]
13,101004368956,Other | Details: [Trash on the sidewalk]  Exact location: [Sidewalk]
14,101004368784,"Constituent reports a sign that was knocked over and is leaning against the builing at 47 Snow Hill St. | Public safety sign: [No]  Type of sign: [""No Parking"" Sign]  Is the pole still there: [Yes]"
15,101004322102,Constituent states that the grass is overgrown and needs to be cut. There is lots of debris and trash and the he is requesting maintenance as soon as possible for the safety of the children. | SR Type: [Ground Maintenance General]  Park owner: [BPRD]
16,101004342325,Trash sitting on sidewalk in public walkway.
17,101004340184,Residents are requesting that the grass be cut ASAP at MT Bowdoin Green Park.  The grass is SO overgrown!! | SR Type: [Ground Maintenance General]  Park owner: [BPRD]
18,101004340711,Dead bird in middle grass area
19,101004359632,Sbux
20,101004368973,Sidewalk tree very overgrown and blocking sidewalk
21,101004368972,"Date of scheduled pickup: [Tuesday, July 5, 2022 ***]  Item requested for a collection: [TV (1) Air Conditioner (1) Refrigerator/Freezer (0) Water Cooler (0) Dehumidifier (0) Computer Monitor (0)]  Trash day: [Monday]  Curbside pickup or an alley: [Curbside Pickup]"
22,101004357534,Public safety sign: [Yes]  Sign description: [Keep Right on the meridian]  Is the pole still there: [Yes]
23,101004341255,There is a dead bird inside of the grassy area/Byrne Park | SR Type: [Ground Maintenance General]  Park owner: [BPRD]
24,101004368970,Constituent reports car on King hasn't moved in a week. | Make of the abandoned car: [TOYOTA]  Model of the abandoned car: [SUV]  Color of the abandoned car: [GREYSILVER]  License Plate number if available: [32YA29]  License Plate State if available: [MA]
25,101004368968,The playground at Fallon Field is overflowing. Please replace. Thank you :)
26,101004368967,missed on Monday | How was your waste placed out for collection: [Yard Waste Paper Bag]  Barrels or bags over 50 lbs: [No]  Scheduled trash day: [Mon/Thurs]  Curbside pickup or an alley: [Curb Side Pickup]  Yard waste mixed with household trash: [No]
27,101004368965,Trash/debris for removal. Ticket has been issued
28,101004343058,Constituent reports trash overflowing. | SR Type: [Cleaning/Trash]  Park owner: [BPRD]
29,101004354730,Constituent called to request the grass be trimmed & weeds removed. Says it hasn't been done in over a year | SR Type: [Grass Cutting]  Park owner: [BPRD]
30,101004368964,"Date of scheduled pickup: [Thursday, July 7, 2022 ***]  Item requested for a collection: [TV (0) Air Conditioner (1) Refrigerator/Freezer (0) Water Cooler (0) Dehumidifier (0) Computer Monitor (0)]  Trash day: [Wednesday]  Curbside pickup or an alley: [Curbside Pickup]"
31,101004360533,Grass is very high around the field. | SR Type: [Grass Cutting]  Park owner: [BPRD]
32,101004368962,It is cracked and falling apart. | Cause of damage: [Normal deterioration]
33,101004358505,Constituent reports overflowing trash barrels in Mt. Bowdoin Green. | SR Type: [Cleaning/Trash]  Park owner: [BPRD]
34,101004361463,Trash at the top of the hill of ringer park. Broken glass and beer cans/boxes
35,101004368960,Loose street cover
36,101004368959,Shopping cart
37,101004359662,"Please mow the grass in Allen Park,the Coppens area and Mt. Bowdoin Green | SR Type: [Grass Cutting]  Park owner: [BPRD]"
38,101004365140,Play ground at Rogers Park...large group partying and very loud...in the morning the Tot Lot is full of trash. It sounds like the EF School again. PLEASE
39,101004368369,How was your waste placed out for collection: [Yard Waste Paper Bag]  Scheduled trash day: [Mon/Thurs]  Is your trash curbside pickup or an alley: [Curb Side Pickup]  Is your yard waste mixed with household trash: [No]
40,101004361032,Please remove litter from walking trail near baseball field of Ronan park
41,101004368958,Recycling Sticker: [1]  Yard Sticker: [0]
42,101004368840,Couch in yard
43,101004368945,Rubbish is placed out well in advance of pickup | Details: [Constituent reported that there are open trash bags out in the Public Alley No.416]  Exact location: [side]
44,101004368957,Household trash blocking the sidewalk.
45,101004368040,Street light or control box knocked down: [Street Light]  Problem: [Street light is knocked over at this location.]  Light blocking the street or sidewalk: [No]  Wires exposed: [Yes]
46,101004368954,4 similar markings within 75 feet
47,101004364953,7 suitcases now before 4 suitcase someone needs to do your JOB
48,101004368953,Household trash blocking the sidewalk.
49,101004367866,"Today, Monday June 27, is a leaf and yard waste removal day. However, it is 6:15 pm and my leaf bags have not been removed. Both garbage and recycling trucks have come through."
50,101004368809,Overgrown weeds
51,101004368951,"This land is not paved n its too close to my home for parking the huge trucks, its bad for my foundation,their back n forth on the noisy gravel, they show up at 6:00a n leave truck running fumes into my window, while they sleep, East Boston has gone ghetto, they talk loud in their fones, this acceptable by the city? Theres just NO MORE CONSIDERATION FOR OTHERS OR THEIR PROPERTY"
52,101004368948,59 chellman st has been abandoned for more than 3 years. Back door and window is open and stings probably homeless people.
53,101004368941,Permission for Arborway Tree Service to Inject the ash tree at this location to help prevent against damage from EAB. | Is this a City owned tree situated on the sidewalk: [Yes]
54,101004368943,Permission for Arborway Tree Service to prune the honey locust tree on the Westbourne Street side of this location. | Is this a City owned tree situated on the sidewalk: [Yes]
55,101004368947,"Please remove asap this DOA squirrel. 

Thank you very much."
56,101004368845,Dead rabbit
57,101004368889,"Small entrance ,near the front last door on the left. | Needle Quantity: [One]  Property Location Type: [Public]"
58,101004365851,Big pothole in middle of street. Please fix!
59,101004368942,"Cracked side walk,"
60,101004366015,"Once again, the splash pad won't shut off."
61,101004368940,Missing bar. Tuesday
62,101004368939,"requests cart, building doesn't have one | Recycling pickup day: [Monday]  No. of carts: [1]  No. of units: [3]  OK to deliver: [per April ok]"
63,101004366721,"Constituent reports the water at this playground has been running all night,constitunet reports there should be a way to shut the water off so water is not wasted. | SR Type: [Ground Maintenance General]  Park owner: [BPRD]"
64,101004368936,Several trash bags for removal. Ticket has been issued
65,101004368935,Scheduled recycling day: [Tuesday]  How was the recycling placed out for collection: [Cart]  Curbside pickup or an alley: [Curb Side Pickup]
66,101004368933,"window shade | Scheduled trash day: [Tuesday]  How was your trash placed out for collection: [Other]  If 'Other', please specify: [window shade]  Curbside pickup or an alley: [Curb Side Pickup]  Trash contains any construction material, paints, plumbing fixtures or tires: [No]"
67,101004366296,The sprinllers in the Childrens Play Lot are not working vmail 2:05 | SR Type: [Ground Maintenance General]  Park owner: [BPRD]
68,101004368931,Loud airplane noise
69,101004368930,"There are so many construction  vehicles parked. The residents of leather District are getting the tickets - not the illegal Parkers. 

What is the long term solution?"
70,101004365538,Splash pad water sensors not working. Children are hot 掠掠and would love to cool down!!
71,101004368929,What is the nature of the problem: [Constituent reports abandoned property with back door and windows open]
72,101004368927,Constituent is requesting a Litter Basket be installed at this end of the foot bridge. | Has a litter basket or barrel been at this location before: [No]  Type of litter basket: [No Preference]  Interested in the Adopt a Barrel program: [No]
73,101004368418,"Constituent from this location states that someone dumped construction material near propertys dumpster | Construction debris: [siding, porch]  Exact location: [rear]"
74,101004365512,Water at the park does not turn on. Please turn on the water. It is too hot for kids to be in the park and not play in the water.
75,101004367753,3 rats spotted in and out of over flowing trash barrels
76,101004368920,Constiutent is requesting a Litter Basket to be installed for right before going over foot bridge. | Has a litter basket or barrel been at this location before: [No]  Type of litter basket: [No Preference]  Interested in the Adopt a Barrel program: [No]
77,101004368918,No parking
78,101004368917,Recycling at 133 has been out at correct times but has not been picked up the last 3 visits.
79,101004368491,Parking lot has a lot of pothole damage
80,101004368916,"Scheduled trash day: [Mon/Thurs]  How was your trash placed out for collection: [Barrel]  Size of the barrel: [30 gallon]  Curbside pickup or an alley: [Curb Side Pickup]  Trash contains any construction material, paints, plumbing fixtures or tires: [No]"
81,101004368914,residents park on both sides of the narrow street close to Centre street making it impossible for trucks (and more importantly) emergency vehicles can’t make the turn onto the street.  Please put up a no-parking sign to allow for a safe turn onto the street.
82,101004368913,A white work truck with ladders has been here all day there a foot over my driveway I cannot see to get out please tag them I put in a request earlier the van has been here since last night
83,101004368607,Glass
84,101004368912,Trash bag for removal. No code violation found at this time.
85,101004354755,"40 years ago today Massport installed new windows in East Boston I think it is time to do that again ! It is much louder now than 
it was then !!!"
86,101004368771,Dead rats in public alley 818 in roadway
87,101004368910,Constituent reports trash not collected this morning. | Scheduled trash day: [Tuesday]  How was your trash placed out for collection: [Container]  Curbside pickup or an alley: [Alley]
88,101004368908,"Please help us trim these trees! Growing into our properties and pollen is going everywhere, as well as bugs/ticks"
89,101004368795,Trash for removal. No code violation found at this time.
90,101004269900,Unpermitted deck construction in rear on Bowen street-loud conditions-working outside of approved hours and on weekends. Please send inspectors
91,101004368808,Trash on sidewalk
92,101004368907,Overgrown grass please cut plus trash attn mass dot
93,101004366282,"Overgrown weeds on Rutherford Avenue, NOT on Charbonnier Street.  Weeds run the length of the fence."
94,101004368904,Constituent would like the grass cut before the weekend. | SR Type: [Grass Cutting]  Park owner: [BPRD]
95,101004368902,2 carts picked up one missed | Scheduled recycling day: [Tuesday]  How was the recycling placed out for collection: [Cart]  Curbside pickup or an alley: [Curb Side Pickup]
96,101004368691,"Property completely overgrown and all weeds are seeding the neighborhood. Please ticket daily, this is a multi-million dollar property in a prominent location. Thank you."
97,101002545663,The construction site at 232 Old Colony begins moving trucks and heavy machinery almost every single morning between 6-6:30am including most Saturdays. I believe construction is not supposed to start until 7am on weekdays and is not allowed without a special permit on weekends. I live on a side road and am woken up at 6am almost every day. Can someone enforce the noise ordinances?
98,101004368798,Stop this Logan airplane noise
99,101004368899,Near drive way in street at 117 marine road it's squished like a pancake
100,101004364954,Please remove litter on walking trail at Ronan Park
101,101004362046,Logan airplane noise going on now
102,101004368898,dead Rat on the sidewalk | Type of debris: [Other]  Cars parked on the street: [No]
103,101004362148,Louise offensive Logan airplane noise going on now
104,101004368896,Trash in alley
105,101004368042,I took my trash out this morning by 530 am on my way out to work and I came home after 2pm and thought the trash was picked up until I saw it in the corner piled up next to the eversource construction gate. So either the construction workers moved it which I don't believe they did when they arrive at 7am or am unknown person walking by and has issues and moved it to play games. Please have someone pick this up in front of 60 Charles St South.
106,101004368895,A large commercial vehicle parks here all the time can you please ticket it and explain that commercial vehicles can not use City roadway to garage their vehicle.
107,101004368894,"Date of scheduled pickup: [Friday, July 1, 2022]  Item requested for a collection: [TV (1) Air Conditioner (0) Refrigerator/Freezer (0) Water Cooler (0) Dehumidifier (0) Computer Monitor (0)]  Trash day: [Friday]  Curbside pickup or an alley: [Curbside Pickup]"
108,101004368892,mattresses in city owned lot | Type of debris: [Other]  Cars parked on the street: [No]
109,101004368782,2 shopping carts of trash no ticket issued
110,101004367417,Constituent states basketball court lights have been on around the clock without going off. | Park owner: [BPRD]
111,101004365216,6:30 am on a Saturday morning. This is what we have to deal with. What happened to only being able to work between certain hours. This is ridiculous and I'm going for months now
112,101004356821,Stuck on red | Signal problem: [Traffic]  Type of problem: [Light is not changing]  Type of pole: [Over the Street Pole]  Pole knockdown: [No]
113,101004368887,Dark blue Toyota Corolla MA REGISTRATION 598 GC2 Parked IN TOW ZONE
114,101004361090,Broken sign pole left sharp base on side walk. Hazard for walkers.
115,101004368886,It's more than a foot deep
116,101004367779,Trash on walkway near centerfield in Ronan park
117,101004367497,Around water manhole cover
118,101004368885,"Date of scheduled pickup: [Thursday, June 30, 2022]  Item requested for a collection: [TV (1) Air Conditioner (0) Refrigerator/Freezer (0) Water Cooler (0) Dehumidifier (0) Computer Monitor (0)]  Trash day: [Thursday]  Curbside pickup or an alley: [Curbside Pickup]"
119,101004368573,"Trash bag with something, not sure"
120,101004368880,Trash/tire for removal. No code violation found at this time.
121,101004368874,SLCB needs to be replaced
122,101004368875,Tree blocking pedestrians
123,101004368876,Over flowing garbage cans and thrash on the ground throughout the park.
124,101004368877,Bench in desperate need for a repaint.
125,101004368873,Car is park and hanging into the street. | The closest intersecting street: [River St]  How is the car parked illegally: [Other]  Details: [Car hanging into street]  Make: [Other]  Color: [RedOrange]  Vehicle License Plate Registration: [4Z0498]  Vehicle License Plate State: [MA]
126,101004368871,Trash bags next to city barrel for removal. No evidence or code violation found at this time.
127,101004367890,"Scheduled trash day: [Monday]  How was your trash placed out for collection: [Barrel]  Curbside pickup or an alley: [Curb Side Pickup]  Trash contains any construction material, paints, plumbing fixtures or tires: [No]"
128,101004368870,Construction no visible permits
129,101004368869,no parking | How is the car parked illegally: [Other]  Type of vehicle: [Truck]  Color: [White]
130,101004368862,Please remove bikes leaning on the fence someone has dumped the bikes. It's been there all week.
131,101004368295,Wellington alley
132,101004368558,Over flowing recycling bins and trash all over Bell Ct
133,101004368858,How was your waste placed out for collection: [Yard Waste Paper Bag]  Scheduled trash day: [Mon/Thurs]  Curbside pickup or an alley: [Curb Side Pickup]  Yard waste mixed with household trash: [No]
134,101004368557,Over flowing trash and littering the street.
135,101004368554,Trash over flowing and all over Bell Ct
136,101004368853,Request for street light that was purposely unplugged for construction to be plugged back in as construction has finished. | Problem: [Other]
137,101004365590,"BPD reports a sinkhole in front of 100 Sudbury st, has a one in it | Where exactly on the pavement is the pothole: [On Roadway]  Date when pothole noticed: [06/25/2022]  Time when pothole noticed: [13:20]"
138,101004368851,"Lt grey Mini Cooper
No license plate expired registration 
Has been parked for over 2 weeks please tow 
Has already 4 tickets"
139,101004367313,Rat bites: [No]  Rats in the house: [No]  Rats outside of property: [Yes]  What is the nature of the problem: [Constituent reports an increase in rodent activity in this area. Constituent states that a lot of the rats are coming from a storm drain by the tennis courts in Titus Sparrow Park and alleyway #536 north.]
140,101004368725,"Recycling not picked up on Monday 6/27, corner of Westchester and Centre St Jamaica Plain"
141,101004365755,Huge series of potholes.
142,101004365779,There are about seven potholes at the intersection of Blossom and Cambridge streets.
143,101004368779,BPD called to report lights completely out at intersection. Notified traffic signals at 12:05 PM. Traffic signals relayed a power outage in the area. | Type of pole: [Over the Street Pole]  Pole knockdown: [No]
144,101004368657,"ont the sidewalk, near the doorway to a closed business | Needle Quantity: [More Than Three]  Property Location Type: [Public]"
145,101004368839,SR Type: [Grass Cutting]  Park owner: [BPRD]
146,101004368837,"Constituent is requesting for the sign that is already here to be more specfic, states its a commercial  vehicle parking but is not specific as to where this starts and ends. | Type of request: [Sign]"
147,101004368831,Trash/debris for removal. No evidence or code violation found at this time
148,101004368830,"Black Mecedez completely crazy parking and blocking driveway commercial 

Plate: 2mMJT66"
149,101004368264,"Scheduled trash day: [Monday]  How was your trash placed out for collection: [Trash bag]  Curbside pickup or an alley: [Curb Side Pickup]  Trash contains any construction material, paints, plumbing fixtures or tires: [No]"
150,101004368650,Side of 505 columbia road. Furniture left out on sidewalk.  Violation issued
