 playground,patio de recreo
IIlegal dumping,Desecho ilegal de basura
Abandoned vehicles,Vehículos abandonados
Pothole,"Hoyo en la calle "
Potholes,"Hoyos en la calle "
Streetlight outage,Apagones de las luces de la calle
debris,escombros
ADU unit,Unidad de Vivienda Accesoria (ADU)
graffiti,"graffiti "
homeless,persona sin hogar
"SIP ",refugiarse en el lugar
biohazard,bio-peligroso
City services,servicios de la Ciudad
miscellaneous,misceláneos
ADU,Unidad de Vivienda Accesoria (ADU)
"SJC ",Aeropuerto Internacional Mineta San José (SJC)
Customer Contact Center,El Centro de Contacto al Cliente
Santa Clara County,Condado de Santa Clara
traffic signal,señal de tráfico
DOT,Departamento de Transporte
camper,campista
vandalism,vandalismo
drugs,drogas
bus,autobús
"convertible ",convertible
limousine,Limosina
The following is information about the City of San José’s response to the latest guidance from the County of Santa Clara Public Health Department to protect the health of our community to slow the spread of the novel coronavirus (COVID-19) and reduce the number of people infected.,Lo siguiente es información sobre la respuesta de la Ciudad de San José a la última guía del Departamento de Salud Pública del Condado de Santa Clara para proteger la salud de nuestra comunidad para frenar la propagación del nuevo coronavirus (COVID19) y reducir la cantidad de personas infectada.
Read the latest County guidance.,Lea la última guía del condado.
"The health and safety of our employees, residents, businesses, and visitors remains the highest priority for the City of San José.","La salud y seguridad de nuestros empleados, residentes, empresas y visitantes sigue siendo la máxima prioridad para la Ciudad de San José."
"The City of San José formed a Pandemic Management Team in late January, and activated its Emergency Operations Center virtually on February 28.","La Ciudad de San José formó un Equipo de Manejo de Pandemias a fines de enero, y activó su Centro de Operaciones de Emergencia virtualmente el 28 de febrero."
"On March 5, the City of San José progressed to Stage 4, High Response Level, of its Pandemic Response Plan.","El 5 de marzo, la Ciudad de San José avanzó a la Etapa 4, Nivel de Alta Respuesta, de su Plan de Respuesta a Pandemias."
City of San José Flash Reports will be issued at 10 a.m. and 5 p.m. on weekdays.,Los Informes Flash de la Ciudad de San José se emitirán a las 10 a.m. y a las 5 p.m. de lunes a viernes.
"Updates will be posted to the City of San José website, and communities can follow updates at Facebook, Twitter, Instagram and Nextdoor at @CityofSanJose.","Las actualizaciones se publicarán en el sitio web de la Ciudad de San José, y las comunidades pueden seguir las actualizaciones en Facebook, Twitter, Instagram y Nextdoor en @CityofSanJose."
"We encourage those who are sick or who are at higher risk for serious illness to stay at home, and to observe the County’s guidance on social distancing during this time.",Alentamos a las personas que están enfermas o que corren un mayor riesgo de contraer una enfermedad grave a que se queden en sus hogares y que observen la orientación del Condado sobre el distanciamiento social durante este tiempo.
Customer Contact Center,Centro de contacto con el cliente
San Jose Fire Department,San Jose Departamento de bomberos
Firefighters,Los bomberos
Santa Clara Public Health Department,Departamento de Salud Pública de Santa Clara
What would you like to report?,que te gustaria informar?
Find answers about City services.,Respuestas a preguntas sobre servicios de la Ciudad.
We may be on another call.,Podemos estar en otra llamada.
How can we help?,¿Cómo podemos ayudar?
Download the San José 311 mobile app,Descarga la aplicación móvil de San José 311
Privacy policy,Política de privacidad
Terms of use,Términos de Uso
Report an abandoned vehicle,Reportar un vehículo abandonado
Report graffiti,Reportar graffiti
Report illegal dumping,Reportar el vertido ilegal
Report a pothole,Reportar un bache
Report a streetlight outage,Reportar un alumbrado público dañado
Other issues,Otros asuntos
Most common questions,Preguntas más comunes
Pay my bill,Pagar mi cuenta
Create an account,Crea una cuenta
Forgot your password?,¿Olvidaste tu contraseña?
Return home,Volver a casa
Please create an account,"Por favor, crear una cuenta"
Reset your password,Restablecer su contraseña
Please enter your email address,"Por favor, introduzca su dirección de correo electrónico"
We'll send you a link to a create a new password,Te enviaremos un enlace a una crear una nueva contraseña
Find a report by type of issue,Encuentre un reporte según el asunto
Frequently asked questions,Preguntas frecuentes
Illegal dumping includes large amounts of garbage and junk left on City of San Jose streets or sidewalks.,El vertido ilegal incluye grandes cantidades de basura y desperdicios en las calles o aceras de la Ciudad de San José.
Add a photo,Agregar una foto
Where is it?,¿Dónde está?
Enter an address and/or drag the red pin on the map to the exact location,Introducir una dirección y / o arrastrar el pin rojo en el mapa para la ubicación exacta
Tell us more,Cuéntanos más
What's the closest intersection?,¿Cuál es la intersección más cercana?
Allow public to view your report?,¿Permitir al público ver el reporte?
No one will see your name,Nadie verá su nombre
Abandoned vehicles are unused and undrivable vehicles left on public streets for a long period of time.,Vehículos abandonados son los vehículos sin usar o inmovilizados dejados en la vía pública durante un largo periodo de tiempo.
"Is it blocking a hydrant, ramp or red zone?","¿Está bloqueando un hidrante, rampa o zona roja?"
Is the vehicle damaged?,Está dañado el vehículo?
"Graffiti includes visible markings or drawings on buildings, structures, roads, sidewalks and signs.","Graffiti incluye marcas visibles o dibujos en edificios, estructuras, carreteras, aceras y señales o avisos."
Is it on public property?,¿Está en propiedad pública?
Is it on a state highway?,¿Está en una carretera del estado?
"A pothole is a hole in the street with a defined edge. ",Un bache es un hueco en la calle con un borde definido.
Not a sinkhole (rounded edge) or a crack in the road.,No es un sumidero (borde redondeado) o una grieta en la carretera.
"Streetlights are lights on roads or sidewalks. ",El alumbrado público con luces en calles o aceras.
"Not lights inside parks and buildings, or traffic signals.","No hay luces dentro de parques o edificios, o señales de tráfico."
What is the pole number?,¿Cuál es el número del poste?
Is more than one streetlight out?,¿Más de un alumbrado público está dañado?
"This is for reporting and finding information about all other issues. ",Esto es para la presentación de informes y la búsqueda de información sobre todos los demás temas.
Thank you!,¡Gracias!
Report concerns on private property here.,Para reporter problemas en propiedad privada.
Call 911 for emergencies.,Llame al 911 para emergencias.
Broken streetlight,Alumbrado público dañado
shelter at home,refugio en el hogar
shelter in place,Resguardo local
non-essential,no esencial
non-essential business,negocio no esenciales
reference number,número de referencia
Fix this light,Reparar esta luz
cross street,cruce de calles
carts of debris,carros de escombros
garbage bags,bolsas de basura
fridges,neveras o refrigeradores
spare tire,llanta de repuesto
homeless shelter,refugio para indigentes
tripping hazard,peligro de tropiezo
table dumped,mesa tirada
abandon car,abandonar el coche
TV dumped,TV tirada
pile of trash,montón de basura
swarm of bees,enjambre de abejas
mattress dumped,colchán tirado
parked on the street,estacionado en la calle
expired plates,placas caducadas
abandoned shopping cart,carrito de la compra abandonado
a lot of garbage,un montón de basura
full of trash,lleno de basura
illegal vehicle,vehículo ilegal
junk pickup,recogida de basura
free pickup,recogida gratuita
yard waste,desechos de jardín
big piles of yard waste,grandes montones de desechos de jardín
license plate,placa
across the street,al otro lado de la calle
fire hydrant,hidrante
home construction,la construcción de viviendas
fireworks,fuegos artificiales
RV,RV
air conditioner,aire acondicionado
R-1 zoning,R-1 zonificación
unemployment,desempleo
damaged vehicle,vehículo dañado
stop sign,señal de pare
Car has not moved.,Coche no se ha movido.
shopping cart,carrito de compras
refrigerator,refrigerador
dresser,vestidor
vehicle,vehículo
soundwall,pared a prueba de ruido
vandalism,vandalismo
social distancing,distanciamiento social
homeless camp,campamento de personas sin hogar
impound,confiscar
fire truck,camión de bomberos
firetruck,camión de bomberos
ambulance,ambulancia
emergency vehicle,vehículo de emergencia
dumpster,contenedor de basura
submit,enviar
another report was submitted,Se presentó otro informe
gang graffiti,graffiti de pandilla
walking the dog,pasear al perro
social distancing orders,órdenes de distanciamiento social
hazard,peligro
Please respond as soon as possible.,"Por favor, responda a la brevedad posible."
neighborhood issue,asunto del barrio o vecindario
masks,máscaras
no masks,sin máscaras
dishwasher,lavadora de platos
street sweeping,barrido de calles
street sweeping service,servicio de barrido de calles
barbeque,barbacoa
in front of my home,en frente de mi casa
in front of my house,en frente de mi casa
safety,la seguridad
safety need,necesidad de seguridad
tagger,etiquetador
