,Unnamed: 0,service_request_id,grievance,translated_text
0,0,101004372086,Overgrown weeds,Hierbas sobrecrecidas
1,1,101004372084,Commercial Parking only,Estacionamiento comercial solamente
2,2,101004372083,Commercial Parking only,Estacionamiento comercial solamente
3,3,101004372082,Gray SUV parked overhanging sidewalk.  Ticket on back of vehicle is from 3 days ago.  BYD please go tag it.,El billete en la parte trasera del vehículo es de hace 3 días. BYD por favor ve a etiquetarlo.
4,4,101004371668,Not trash day,No es el día de la basura.
5,5,101004372014,Somekind of bucket with sand left on the sidewalk for a few days. | Type of debris: [Other]  Cars parked on the street: [No],Algún tipo de cubo con arena izquierda en la acera por unos días. Tipo de escombros: [Otros] Coches estacionados en la calle: [No]
6,6,101004337018,Broken sprinkler head,Cabeza de rociador rota
7,7,101004359338,"Broken glass bottles, unsafe area as a result","Botellas de vidrio rotas, área insegura como resultado"
8,8,101004371749,street has not been swept since April.  Used to get regular sweeping but the signs were taken down | Type of debris: [Requestformechanicalsweeping]  Cars parked on the street: [No],"calle no ha sido barrida desde abril. Se utiliza para conseguir barrido regular, pero las señales fueron derribadas  Tipo de escombros: [Solicitud de barrido mecánico] Coches estacionados en la calle: [No]"
9,9,101004372079,Pick up cone,Pick up cono
10,10,101004372078,Loose trash and broken glass around back of property,Basura suelta y vidrios rotos alrededor de la parte trasera de la propiedad
11,11,101004371199,Splash Pad- A few of the spouts do not work. Was told that the pipes need to be cleaned. Since the pool isn't opened and it is one of only 2 splash pad we have in our town can we at least have that functioning properly.,Splash Pad- Algunos de los cañones no funcionan. Se le dijo que las tuberías necesitan ser limpiadas. Ya que la piscina no está abierta y es uno de sólo 2 cañones que tenemos en nuestra ciudad podemos al menos tener que funcionar correctamente.
12,12,101004370961,Splash pad sewer not draining and some sprinklers seem clogged.,Las alcantarillas no se drenan y algunos aspersores parecen obstruidos.
13,13,101004371942,Item(s) that was/were supposed to be picked up: [Air Conditioner]  Scheduled trash day: [Wednesday]  Curbside pickup or an alley: [Curb Side Pickup],Artículo(s) que se suponía que debía(n) recoger: [Aire Acondicionador] Día de basura programado: [Miércoles] Recojo de Curbside o un callejón: [Curb Side Pickup]
14,14,101004362703,Big rats coming out of this yard all the time.,Ratas grandes que salen de este patio todo el tiempo.
15,15,101004372047,Dead animal on sidewalk/roadway: [Roadway]  Type of animal: [Other]  Please explain: [ground hog]  Date when animal seen: [06/30/2022]  Time when animal seen: [12:50],Animales muertos en la acera/carretera: [Camino] Tipo de animal: [Otro] Explíquese: [Cerdo de tierra] Fecha en que el animal ha sido visto: [06/30/2022] Hora en que el animal ha sido visto: [12:50]
16,16,101004370742,Behind church trash from church keeps accumulating  for more than a week church people don't pick up trash dumpsters belong to church they're located behind alleyway.,Detrás de la basura de la iglesia de la iglesia sigue acumulando durante más de una semana la gente de la iglesia no recoge basureros pertenecen a la iglesia que están situados detrás de callejón.
17,17,101004371041,Park overgrown and landing at 100 Stairs entrance flooded (drain needs to be unclogged - the rest of the landings are okay).,Parque cubierto y el aterrizaje en la entrada de 100 escaleras inundada (el drenaje necesita ser desencerrado - el resto de los aterrizajes están bien).
18,18,101004372077,No evidence found,No se encontraron pruebas
19,19,101004370397,Pothole in the crosswalk going across westbound lanes of Beacon before crossing intersection,Bache en el cruce que cruza los carriles hacia el oeste de Beacon antes de cruzar la intersección
20,20,101004372076,Constituent reports car blocking hydrnat as well as multiple double parked vehicles. | How is the car parked illegally: [Blocking hydrant],"Los informes constituyen el bloqueo de coche hidrnat, así como varios vehículos de doble estacionamiento.  ¿Cómo es el coche estacionado ilegalmente: [Blocking hidrante]"
21,21,101004372074,Thank you for fixing the sidewalks and added accessible ramps. Really hoping the crosswalks can be repainted and one can be added to correspond with crossing on both sides. Cars sadly still plow through the lights and it might help w pedestrians entering and exiting Franklin.  Thanks!,Gracias por arreglar las aceras y añadir rampas accesibles. Realmente con la esperanza de que los cruces pueden ser repintados y uno puede ser añadido para corresponder con el cruce en ambos lados. Coches tristemente todavía ara a través de las luces y podría ayudar a w peatones entrar y salir de Franklin. Gracias!
22,22,101004370347,The grate is sinking. This is located near the front entrance of the St Anthony's Shrine.,"La rejilla se está hundiendo, cerca de la entrada principal del Santuario de San Antonio."
23,23,101004371745,Other | Details: [THERE IS ALL KINDS OF TRASH/DEBRIS AND OVER GROWN GRASS/WEEDS ON THE PROPERTY ACROSS THE STREET FROM THIS LOCATION.],Otros  Detalles: [TODAS LAS TIERRAS DE TRASH/DEBRIS Y MAS DE GROWN GRASS/WEDS EN LA PROPIEDAD ATRAVÉS DE LA CALLE DE ESTA LOCALIZACIÓN.]
24,24,101004372073,ORIGINAL CART WAS STOLEN | Recycling pickup day: [Tuesday]  No. of carts: [1]  No. of units: [1],CART ORIGINAL WAS SOLEN  Reciclaje día de recogida: [martes] No. de carros: [1] No. de unidades: [1]
25,25,101004372053,130 Myrtle St,130 Myrtle St
26,26,101004371499,Trash on sidewalk,Papelera en la acera
27,27,101004372071,Vehicle with out of state plates parked illegally in Resident parking zone,Vehículo con matrículas fuera del estado estacionado ilegalmente en la zona de estacionamiento de los residentes
28,28,101004372070,Please remove trash no evidence found,"Por favor, quita la basura no hay pruebas."
29,29,101004372069,BPD is requesting 3 boxes of needle collection bins collected. | Needle Quantity: [More Than Three]  Property Location Type: [Public],BPD está solicitando 3 cajas de contenedores de recolección de agujas recogidos.  Aguja Cantidad: [Más de tres] Tipo de ubicación de la propiedad: [público]
30,30,101004372067,574-576 Harvard St TRASH HAS BEEN HERE FOR 3 YEARS....(COMPLAINT #101002794296) Same exact trash STILL. Now there are RATS,574-576 Harvard St TRASH ha estado aquí durante 3 años.... (COMPLAINT #1010002794296) La misma basura exacta todavía. Ahora hay RATS
31,31,101004316922,Jeep parked in visitor zone for three days. Zone has two hour limit,Jeep estacionado en la zona de visitantes durante tres días. Zona tiene un límite de dos horas
32,32,101004372004,Emptied barrels left out on sidewalk | Details: [Trash is all over property and outside on sidewalk . States not taking trash out.],Barricas vacías que quedan en la acera Detalles: [El accidente está por toda la propiedad y fuera en la acera. Estados que no sacan basura.]
33,33,101004362660,Rat infestation rear if property,Infestación de ratas trasera si la propiedad
34,34,101004366838,Tasca Restaurant on Commonwealth Avenue in Brighton is covering up the city-installed bike rack,Restaurante Tasca en Commonwealth Avenue en Brighton está cubriendo el portabicicletas instalado en la ciudad
35,35,101004372063,"Urgent: Please see one attached photo. The large tree limbs are falling against the telephone pole which has the electric utility box and cables running off of it. This is a safety hazard and needs to be removed before it falls and someone gets hurt walking on the sidewalk. This pole is on the sidewalk in front of # 93 & 89 Turner Street, Brighton MA 02135. The Tree is on the property of #93 Turner St.","Urgente: Por favor vea una foto adjunta. Las extremidades grandes del árbol están cayendo contra el poste del teléfono que tiene la caja eléctrica y los cables corriendo fuera de ella. Esto es un peligro de seguridad y necesita ser removido antes de que caiga y alguien resulta herido caminando en la acera. Este poste está en la acera en frente de # 93 & 89 Turner Street, Brighton MA 02135. El árbol está en la propiedad de # 93 Turner St."
36,36,101004370823,"Please ensure the outdoor dining space at Acetuna Grill at 57 Boston Wharf Road meets their permit, it appears they have taken up too much sidewalk space.. thank you","Por favor, asegúrese de que el espacio de comedor al aire libre en Acetuna Grill en 57 Boston Wharf Road cumple con su permiso, parece que han ocupado demasiado espacio en la acera.. gracias"
37,37,101004372062,How is the car parked illegally: [Fire lane]  Model: [4DR]  Color: [White]  Vehicle License Plate State: [CT],¿Cómo se estaciona ilegalmente el coche? [Fire Lane] Modelo: [4DR] Color: [White] Licencia de vehículo Estado de la placa: [CT]
38,38,101004372056,Where the driveway meets the street Concrete falling apart. | Cause of damage: [Normal deterioration],Donde el camino de entrada se encuentra con la calle Hormigón cayendo a pedazos.  Causa de daño: [Deterioro normal]
39,39,101004371539,"Alley Dumpster is overflowing, smells very bad and has seagulls shredding the bags left on top of the dumpster. Continuing issue with no changes and multiple complaints. Attracts rats and gull and pigeons daily.","Alley Dumpster está desbordante, huele muy mal y tiene gaviotas triturando las bolsas que quedan en la parte superior del contenedor. Problema continuo sin cambios y múltiples quejas. Atrae ratas y gaviotas y palomas diariamente."
40,40,101004311647,"The lightening at the Bocce Courts on Commercial Street does not light the 3 courts closest to Commercial Street. The 3  courts closest to the waterfront are fine,  but the other courts are in the dark. Thank you for your attention! | SR Type: [LIGHTING_ELECTRICAL]","El alumbrado en el Bocce Courts en Commercial Street no ilumina las 3 pistas más cercanas a Commercial Street. Las 3 pistas más cercanas al paseo marítimo están bien, pero las otras pistas están en la oscuridad. ¡Gracias por su atención!  SR Tipo: [LIGHTING_ELECTRICAL]"
41,41,101004371947,Constituent states recycling has been missed two weeks in a row | Scheduled recycling day: [Wednesday]  How was the recycling placed out for collection: [Blue Box]  Curbside pickup or an alley: [Curb Side Pickup],El reciclaje de los estados constituyentes se ha perdido dos semanas seguidas  Día de reciclaje programado: [Miércoles] ¿Cómo se colocó el reciclaje para la recogida: [Blue Box] Recojo de Curbside o un callejón: [Curb Side Pickup]
42,42,101004371972,Dead animal,Animales muertos
43,43,101004372052,Exposed trash debris,Desechos de basura expuestos
44,44,101004371214,Woman throwing litter on ground,Mujer arrojando basura al suelo
45,45,101004372051,How is the car parked illegally: [Blocking hydrant]  Make: [Unknown]  Model: [4DR],¿Cómo es que el coche está estacionado ilegalmente: [Blocking hidrante] Marca: [Unknown] Modelo: [4DR]
